Lab,Drug for Plate,Worm Species,Worm Strain from plate,Worm strain thaw date,Plate_Title,Age at Death,Dead,Censor,Plate Position,scanner name,Compound_Conc,Conc_units,Trial,LogDeath,Experiment type,Plate_Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,24.0649,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,24.4087,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,24.6899,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,26.7837,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_2,28.5649,1,0,B::3,APOLLO,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_2_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,12.7719,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,13.6469,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,15.0219,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,15.0844,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,16.7406,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRISCOLL,UNTREATED,C. BRIGGSAE,AF16,09/02/2016,AF16_UNTREATED_0UM_3,17.2719,1,0,A::1,APHRODITE,0,μM,9/19/16,4.629735707,ALM,AF16_UNTREATED_0UM_3_09-19-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
